Timestamp,1. open,2. high,3. low,4. close,5. volume,Time,Date,Minute,Hour,Year,Month,Day
2024-08-22 11:22:00,559.15,559.4,559.11,559.2545,56721.0,11:22:00,2024-08-22,22,11,2024,8,22
2024-08-22 11:23:00,559.24,559.24,559.07,559.13,59497.0,11:23:00,2024-08-22,23,11,2024,8,22
2024-08-22 11:24:00,559.13,559.37,559.04,559.325,89186.0,11:24:00,2024-08-22,24,11,2024,8,22
2024-08-22 11:25:00,559.315,559.315,559.12,559.2635,58793.0,11:25:00,2024-08-22,25,11,2024,8,22
2024-08-22 11:26:00,559.2395,559.32,559.1808,559.28,33254.0,11:26:00,2024-08-22,26,11,2024,8,22
2024-08-22 11:27:00,559.27,559.53,559.24,559.47,70345.0,11:27:00,2024-08-22,27,11,2024,8,22
2024-08-22 11:28:00,559.45,559.47,559.31,559.35,63042.0,11:28:00,2024-08-22,28,11,2024,8,22
2024-08-22 11:29:00,559.35,559.35,559.11,559.1684,61000.0,11:29:00,2024-08-22,29,11,2024,8,22
2024-08-22 11:30:00,559.16,559.24,559.02,559.07,73521.0,11:30:00,2024-08-22,30,11,2024,8,22
2024-08-22 11:31:00,559.07,559.3,559.04,559.19,73028.0,11:31:00,2024-08-22,31,11,2024,8,22
2024-08-22 11:32:00,559.18,559.18,558.98,559.05,40308.0,11:32:00,2024-08-22,32,11,2024,8,22
2024-08-22 11:33:00,559.05,559.13,558.86,558.89,70330.0,11:33:00,2024-08-22,33,11,2024,8,22
2024-08-22 11:34:00,558.86,559.13,558.84,559.02,67762.0,11:34:00,2024-08-22,34,11,2024,8,22
2024-08-22 11:35:00,559.03,559.33,559.0294,559.25,86393.0,11:35:00,2024-08-22,35,11,2024,8,22
2024-08-22 11:36:00,559.2748,559.2748,559.06,559.1999,38488.0,11:36:00,2024-08-22,36,11,2024,8,22
2024-08-22 11:37:00,559.19,559.195,558.92,558.97,69194.0,11:37:00,2024-08-22,37,11,2024,8,22
2024-08-22 11:38:00,558.95,558.96,558.68,558.715,133394.0,11:38:00,2024-08-22,38,11,2024,8,22
2024-08-22 11:39:00,558.72,558.7556,558.51,558.53,85210.0,11:39:00,2024-08-22,39,11,2024,8,22
2024-08-22 11:40:00,558.53,558.65,558.495,558.495,51254.0,11:40:00,2024-08-22,40,11,2024,8,22
2024-08-22 11:41:00,558.485,558.81,558.4643,558.73,90206.0,11:41:00,2024-08-22,41,11,2024,8,22
2024-08-22 11:42:00,558.735,558.76,558.25,558.26,110488.0,11:42:00,2024-08-22,42,11,2024,8,22
2024-08-22 11:43:00,558.2699,558.2732,557.355,557.362,340129.0,11:43:00,2024-08-22,43,11,2024,8,22
2024-08-22 11:44:00,557.37,557.68,557.3591,557.45,290641.0,11:44:00,2024-08-22,44,11,2024,8,22
2024-08-22 11:45:00,557.45,557.77,557.31,557.72,184657.0,11:45:00,2024-08-22,45,11,2024,8,22
2024-08-22 11:46:00,557.73,557.92,557.47,557.8501,151472.0,11:46:00,2024-08-22,46,11,2024,8,22
2024-08-22 11:47:00,557.86,558.06,557.8374,557.8689,98324.0,11:47:00,2024-08-22,47,11,2024,8,22
2024-08-22 11:48:00,557.86,557.88,557.19,557.278,152661.0,11:48:00,2024-08-22,48,11,2024,8,22
2024-08-22 11:49:00,557.28,557.39,557.15,557.2299,129051.0,11:49:00,2024-08-22,49,11,2024,8,22
2024-08-22 11:50:00,557.26,557.46,557.06,557.34,103832.0,11:50:00,2024-08-22,50,11,2024,8,22
2024-08-22 11:51:00,557.35,557.65,557.28,557.62,74360.0,11:51:00,2024-08-22,51,11,2024,8,22
2024-08-22 11:52:00,557.62,557.7178,557.54,557.56,863999.0,11:52:00,2024-08-22,52,11,2024,8,22
2024-08-22 11:53:00,557.6,557.6,557.29,557.435,44187.0,11:53:00,2024-08-22,53,11,2024,8,22
2024-08-22 11:54:00,557.45,557.588,557.28,557.45,57366.0,11:54:00,2024-08-22,54,11,2024,8,22
2024-08-22 11:55:00,557.46,557.61,557.33,557.43,84722.0,11:55:00,2024-08-22,55,11,2024,8,22
2024-08-22 11:56:00,557.44,557.64,557.41,557.6099,56493.0,11:56:00,2024-08-22,56,11,2024,8,22
2024-08-22 11:57:00,557.62,557.8,557.53,557.78,38610.0,11:57:00,2024-08-22,57,11,2024,8,22
2024-08-22 11:58:00,557.78,558.225,557.76,558.08,89586.0,11:58:00,2024-08-22,58,11,2024,8,22
2024-08-22 11:59:00,558.07,558.12,557.7401,557.7401,79300.0,11:59:00,2024-08-22,59,11,2024,8,22
2024-08-22 12:00:00,557.73,557.87,557.72,557.77,38514.0,12:00:00,2024-08-22,0,12,2024,8,22
2024-08-22 12:01:00,557.77,558.05,557.73,557.9395,57879.0,12:01:00,2024-08-22,1,12,2024,8,22
2024-08-22 12:02:00,557.92,558.14,557.79,558.0371,59253.0,12:02:00,2024-08-22,2,12,2024,8,22
2024-08-22 12:03:00,558.03,558.2,557.99,558.18,42480.0,12:03:00,2024-08-22,3,12,2024,8,22
2024-08-22 12:04:00,558.18,558.43,558.18,558.33,76462.0,12:04:00,2024-08-22,4,12,2024,8,22
2024-08-22 12:05:00,558.345,558.42,558.21,558.28,67635.0,12:05:00,2024-08-22,5,12,2024,8,22
2024-08-22 12:06:00,558.29,558.3895,558.23,558.33,60457.0,12:06:00,2024-08-22,6,12,2024,8,22
2024-08-22 12:07:00,558.33,558.58,558.33,558.575,62703.0,12:07:00,2024-08-22,7,12,2024,8,22
2024-08-22 12:08:00,558.575,558.59,558.29,558.31,134636.0,12:08:00,2024-08-22,8,12,2024,8,22
2024-08-22 12:09:00,558.31,558.61,558.29,558.58,293841.0,12:09:00,2024-08-22,9,12,2024,8,22
2024-08-22 12:10:00,558.57,558.665,558.39,558.4129,52167.0,12:10:00,2024-08-22,10,12,2024,8,22
2024-08-22 12:11:00,558.43,558.47,558.33,558.47,66346.0,12:11:00,2024-08-22,11,12,2024,8,22
2024-08-22 12:12:00,558.46,558.5401,558.26,558.5401,122827.0,12:12:00,2024-08-22,12,12,2024,8,22
2024-08-22 12:13:00,558.56,558.65,558.4101,558.49,73082.0,12:13:00,2024-08-22,13,12,2024,8,22
2024-08-22 12:14:00,558.49,558.53,558.29,558.41,62488.0,12:14:00,2024-08-22,14,12,2024,8,22
2024-08-22 12:15:00,558.44,558.4883,558.31,558.37,29868.0,12:15:00,2024-08-22,15,12,2024,8,22
2024-08-22 12:16:00,558.34,558.53,558.31,558.45,35889.0,12:16:00,2024-08-22,16,12,2024,8,22
2024-08-22 12:17:00,558.3925,558.4696,558.265,558.45,28910.0,12:17:00,2024-08-22,17,12,2024,8,22
2024-08-22 12:18:00,558.42,558.6299,558.37,558.5901,45020.0,12:18:00,2024-08-22,18,12,2024,8,22
2024-08-22 12:19:00,558.58,558.69,558.51,558.69,31255.0,12:19:00,2024-08-22,19,12,2024,8,22
2024-08-22 12:20:00,558.69,559.3,558.69,559.15,111806.0,12:20:00,2024-08-22,20,12,2024,8,22
2024-08-22 12:21:00,559.17,559.195,559.02,559.1,68960.0,12:21:00,2024-08-22,21,12,2024,8,22
2024-08-22 12:22:00,559.1,559.15,558.978,559.13,85747.0,12:22:00,2024-08-22,22,12,2024,8,22
2024-08-22 12:23:00,559.15,559.37,559.13,559.33,70316.0,12:23:00,2024-08-22,23,12,2024,8,22
2024-08-22 12:24:00,559.33,559.35,559.21,559.32,45259.0,12:24:00,2024-08-22,24,12,2024,8,22
2024-08-22 12:25:00,559.3,559.4495,559.22,559.36,60454.0,12:25:00,2024-08-22,25,12,2024,8,22
